Date,Open,Max,Min,Close,Volume
2014-12-17,0.9543,0.9543,0.878,0.878,6429
2014-12-18,0.9066,0.9066,0.8971,0.9066,1655
2014-12-19,0.8875,0.9066,0.8589,0.9066,42956
2014-12-22,0.9829,0.9829,0.8875,0.9448,202
2014-12-23,0.9352,0.9448,0.9352,0.9448,3
2014-12-29,0.9734,0.9734,0.9543,0.9639,7134
2014-12-30,0.9639,0.9639,0.9066,0.9066,2797
2015-01-02,0.9257,0.9448,0.9066,0.9257,5405
2015-01-05,0.9448,0.9448,0.8875,0.9257,3335
2015-01-07,0.9543,0.9829,0.9448,0.9448,10723
2015-01-08,0.9829,1.002,0.9639,0.9639,13568
2015-01-09,1.002,1.002,0.9639,0.9639,3326
2015-01-12,1.002,1.002,0.9543,1.002,1855
2015-01-13,1.002,1.002,0.9543,0.9925,6313
2015-01-14,0.9925,0.9925,0.9925,0.9925,72
2015-01-15,0.9925,0.9925,0.9257,0.9925,11676
2015-01-16,0.9925,0.9925,0.9543,0.9734,3569
2015-01-19,0.9925,0.9925,0.9639,0.9829,5237
2015-01-20,0.9925,0.9925,0.9543,0.9925,7922
2015-01-21,0.9925,0.9925,0.9543,0.9925,4200
2015-01-22,0.9925,0.9925,0.9925,0.9925,18
2015-01-23,0.9925,0.9925,0.9639,0.9925,3590
2015-01-26,0.9925,1.0211,0.9925,1.0211,5560
2015-01-27,1.0116,1.0116,0.9639,1.002,3235
2015-01-28,1.002,1.002,0.9734,1.002,2193
2015-01-29,1.0211,1.0211,1.002,1.002,2780
2015-01-30,1.0211,1.0211,0.9639,1.0211,782
2015-02-02,1.0211,1.0211,1.0211,1.0211,1042
2015-02-03,1.0211,1.0211,0.9925,1.0116,3165
2015-02-04,1.0593,1.1452,1.0593,1.1165,50984
2015-02-05,1.0497,1.0784,1.0211,1.0402,45521
2015-02-06,1.0593,1.0593,1.0116,1.0593,4180
2015-02-09,1.0497,1.0975,1.0497,1.0975,1058
2015-02-10,1.0879,1.0879,1.0497,1.0879,1232
2015-02-11,1.0879,1.0879,1.0879,1.0879,24
2015-02-12,1.0879,1.0879,1.0879,1.0879,20
2015-02-13,1.107,1.107,1.0784,1.0784,3150
2015-02-16,1.107,1.107,1.0975,1.107,683
2015-02-17,1.107,1.107,1.0211,1.107,10489
2015-02-18,1.107,1.107,1.0402,1.107,734
2015-02-19,1.107,1.107,1.0497,1.0497,5279
2015-02-20,1.107,1.107,1.107,1.107,7
2015-02-23,1.107,1.107,1.0593,1.0593,15
2015-02-24,1.0593,1.1452,1.0497,1.0688,105249
